company_name	hw_job_url
医療法人　桃の木会　那覇リハビリクリニック	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014232961&kJKbn=1&fullPart=1
有限会社　桃の木会　那覇介護福祉センター	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014242361&kJKbn=1&fullPart=1
合同会社　うむい	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014166461&kJKbn=1&fullPart=1
沖縄県社会福祉事業団　北嶺学園	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014259061&kJKbn=1&fullPart=1
（株）陽邦	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701009465561&kJKbn=1&fullPart=1
株式会社　あおぞら産業	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014271761&kJKbn=1&fullPart=1
株式会社　とよみ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014340261&kJKbn=1&fullPart=1
株式会社　弥生　　デイサービスセンター花ぐすく	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014342461&kJKbn=1&fullPart=1
株式会社　みずほ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005533061&kJKbn=1&fullPart=1
社会福祉法人　中陽福祉会　あやはし苑	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005817361&kJKbn=1&fullPart=1
株式会社　安寧	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702007961561&kJKbn=1&fullPart=1
社会福祉法人いぜな会　特別養護老人ホームチヂン園	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4703002103461&kJKbn=1&fullPart=1
医療法人　大平会（嶺井第一病院・嶺井第二病院まちなと・介護医\n療院にしばる・訪問看護ステーションみねい）	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701012936761&kJKbn=1&fullPart=1
株式会社　琉球の街　サービス付き高齢者住宅　琉球の街長田	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014131261&kJKbn=1&fullPart=1
（医）あけぼの会\n　介護老人保健施設　平成苑	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701011701961&kJKbn=1&fullPart=1
有限会社　プラス	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701008997761&kJKbn=1&fullPart=1
社会福祉法人　おきなわ共生会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014171661&kJKbn=1&fullPart=1
医療法人自灯明会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701010307461&kJKbn=1&fullPart=1
